statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
21060,uad6dub9bduc554uc13cud130,2016,67,M,Y,2,4,2,4
21060,uad6dub9bduc554uc13cud130,2011,64,M,N,5,5,5,5
21060,uad6dub9bduc554uc13cud130,2008,56,M,Y,4,4,4,4
21060,uad6dub9bduc554uc13cud130,2012,75,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2012,65,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2011,62,M,N,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2015,61,M,N,3,4,3,4
21060,uad6dub9bduc554uc13cud130,2009,58,F,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2014,64,M,N,1,6,1,6
21060,uad6dub9bduc554uc13cud130,2009,52,M,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2017,72,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2012,73,M,N,2,7,2,6
21060,uad6dub9bduc554uc13cud130,2013,63,M,N,2,6,1,5
21060,uad6dub9bduc554uc13cud130,2012,74,M,N,2,5,2,5
21060,uad6dub9bduc554uc13cud130,2016,77,F,N,5,5,5,5
21060,uad6dub9bduc554uc13cud130,2017,58,M,Y,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2012,69,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2009,59,M,N,1,4,1,4
21060,uad6dub9bduc554uc13cud130,2012,72,M,N,3,3,2,2
21060,uad6dub9bduc554uc13cud130,2010,65,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2011,79,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2013,44,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,47,F,N,2,2,1,1
21060,uad6dub9bduc554uc13cud130,2014,71,M,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2016,66,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2012,66,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2011,46,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2009,67,M,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2008,87,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2017,69,F,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2010,65,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2012,54,F,N,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2016,68,M,Y,4,6,4,6
21060,uad6dub9bduc554uc13cud130,2012,47,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2008,75,F,N,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2016,69,F,N,4,4,4,4
21060,uad6dub9bduc554uc13cud130,2012,69,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2010,68,M,Y,1,3,1,3
21060,uad6dub9bduc554uc13cud130,2012,63,M,N,2,4,2,4
21060,uad6dub9bduc554uc13cud130,2012,70,M,Y,6,6,6,6
21060,uad6dub9bduc554uc13cud130,2018,46,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2013,56,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2018,84,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2010,66,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2018,69,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2013,71,M,Y,4,5,4,5
21060,uad6dub9bduc554uc13cud130,2016,81,M,Y,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2018,69,M,Y,3,5,3,5
21060,uad6dub9bduc554uc13cud130,2011,59,M,N,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2010,46,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2010,61,M,N,3,4,3,4
21060,uad6dub9bduc554uc13cud130,2014,73,F,N,4,5,4,5
21060,uad6dub9bduc554uc13cud130,2016,62,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2015,52,F,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2017,62,M,Y,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2008,37,F,N,1,1,1,1
