statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
16040,uad6dub9bduc554uc13cud130,2018,69,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2018,87,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,51,M,N,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2015,47,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,68,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,45,M,N,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2012,58,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2015,71,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,39,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,79,M,Y,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2010,74,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,46,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,66,M,N,1,4,1,4
16040,uad6dub9bduc554uc13cud130,2016,50,M,Y,3,3,3,3
16040,uad6dub9bduc554uc13cud130,2011,69,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,68,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,46,M,N,1,4,1,4
16040,uad6dub9bduc554uc13cud130,2012,59,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2010,62,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,48,F,N,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2017,49,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2014,72,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2016,56,F,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2014,72,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2012,53,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2009,65,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,68,M,Y,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2017,51,M,Y,3,4,3,4
16040,uad6dub9bduc554uc13cud130,2009,76,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,65,F,N,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2015,36,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2010,75,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,70,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,77,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2015,66,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2008,69,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,69,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,61,F,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2013,48,M,N,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2014,70,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,68,M,Y,3,4,3,4
16040,uad6dub9bduc554uc13cud130,2011,58,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2012,30,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2008,61,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,57,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,80,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,70,M,Y,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2015,60,F,N,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2014,80,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2012,68,M,Y,1,1,1,1
